,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
3585,overhead,above,30,98,0.12195121951219512,246,0.30612244897959184,8,5
3587,amen,prayer,30,100,0.24390243902439024,123,0.3,4,6
3589,sharpie,marker,30,96,0.3157894736842105,95,0.3125,7,6
3591,output,input,30,99,0.5882352941176471,51,0.30303030303030304,6,5
3592,galoshes,boots,30,90,0.18867924528301888,159,0.3333333333333333,8,5
3595,gobble,turkey,30,93,0.11235955056179775,267,0.3225806451612903,6,6
3600,couch,sofa,30,100,0.18072289156626506,166,0.3,5,4
3605,bride,groom,30,100,0.75,40,0.3,5,5
3607,floppy,disk,30,97,0.42857142857142855,70,0.30927835051546393,6,4
3612,ladle,spoon,30,92,0.13157894736842105,228,0.32608695652173914,5,5
3614,high,low,30,100,0.16129032258064516,186,0.3,4,3
3624,vulva,vagina,30,93,0.10600706713780919,283,0.3225806451612903,5,6
3627,bid,auction,30,96,0.6818181818181818,44,0.3125,3,7
3628,hoop,hula,30,95,0.9375,32,0.3157894736842105,4,4
3634,buddhist,monk,30,100,0.18181818181818182,165,0.3,8,4
3637,awful,terrible,30,100,0.13761467889908258,218,0.3,5,8
3638,story,tale,30,100,0.15625,192,0.3,5,4
3639,illustration,drawing,30,98,0.14705882352941177,204,0.30612244897959184,12,7
3647,bubbly,champagne,30,99,0.4838709677419355,62,0.30303030303030304,6,9
3653,joker,batman,30,99,0.30303030303030304,99,0.30303030303030304,5,6
3655,attendant,flight,30,98,0.1111111111111111,270,0.30612244897959184,9,6
3656,flip,flop,30,100,0.75,40,0.3,4,4
3657,hurried,rushed,30,99,0.6382978723404256,47,0.30303030303030304,7,6
3665,extroverted,outgoing,30,98,0.234375,128,0.30612244897959184,11,8
3668,lightning,thunder,30,100,0.28846153846153844,104,0.3,9,7
3675,trampoline,bounce,30,98,0.38461538461538464,78,0.30612244897959184,10,6
3677,friar,tuck,30,87,0.4838709677419355,62,0.3448275862068966,5,4
3679,grouchy,grumpy,30,92,0.2054794520547945,146,0.32608695652173914,7,6
3686,tad,bit,30,90,0.189873417721519,158,0.3333333333333333,3,3
3689,ended,finished,30,99,0.11811023622047244,254,0.30303030303030304,5,8
3692,sure,certain,30,99,0.23076923076923078,130,0.30303030303030304,4,7
3695,bow,arrow,30,99,0.11450381679389313,262,0.30303030303030304,3,5
3697,gory,bloody,30,93,0.379746835443038,79,0.3225806451612903,4,6
3698,vomit,puke,30,98,0.3409090909090909,88,0.30612244897959184,5,4
3699,nitrogen,oxygen,30,100,0.21428571428571427,140,0.3,8,6
3703,grains,wheat,30,98,0.10638297872340426,282,0.30612244897959184,6,5
3710,marvelous,wonderful,30,99,0.10101010101010101,297,0.30303030303030304,9,9
3713,hear,listen,30,100,0.17543859649122806,171,0.3,4,6
3716,verbose,wordy,30,87,0.5555555555555556,54,0.3448275862068966,7,5
3717,joseph,mary,30,98,0.22388059701492538,134,0.30612244897959184,6,4
3720,arrow,bow,30,99,0.13452914798206278,223,0.30303030303030304,5,3
3722,artery,vein,30,95,0.625,48,0.3157894736842105,6,4
3725,basin,sink,30,93,0.1388888888888889,216,0.3225806451612903,5,4
