,0
5_10_1,0.45474712292339653
10_10_1,0.32740547852785423
17_10_1,0.21177276485928806
21_10_1,0.2611695785883079
28_10_1,0.25437363330879714
33_10_1,0.19129748413568992
37_10_1,0.286646750091812
42_10_1,0.23523420184059585
47_10_1,0.22111062360790198
52_10_1,0.23355595526658274
56_10_1,0.19879695096607813
61_10_1,0.21619176900737508
67_10_1,0.46921940393481293
72_10_1,0.32465449393155354
79_10_1,0.19397512753291912
84_10_1,0.2737717029534157
88_10_1,0.2265024635752965
95_10_1,0.42427816954384623
103_10_1,0.30130830687996907
111_10_1,0.4358835467825892
120_10_1,0.3287470101789284
124_10_1,0.29582052648460244
132_10_1,0.24029865840751663
139_10_1,0.34469679591896524
142_10_1,0.34573998104199266
150_10_1,0.28509437968585605
155_10_1,0.2731410344085853
163_10_1,0.355104877316374
168_10_1,0.2812011578109822
178_10_1,0.21426361893719778
193_10_1,0.4102273109090155
198_10_1,0.270923329452174
206_10_1,0.2446286616583819
212_10_1,0.43157663681802644
215_10_1,0.43712543943094306
226_10_1,0.25953309213042014
232_10_1,0.26114089706027527
238_10_1,0.2422765009459309
243_10_1,0.29234827409215935
247_10_1,0.21853202630229093
251_10_1,0.3614187426883743
257_10_1,0.3942402838977549
263_10_1,0.4819967711769886
269_10_1,0.39366383666485755
274_10_1,0.23947341475309783
281_10_1,0.3169790369470767
287_10_1,0.36722785161722893
292_10_1,0.4887099046034417
297_10_1,0.4102253628193473
304_10_1,0.4659764289394225
309_10_1,0.5832522393452785
315_10_1,0.2861795235787459
320_10_1,0.41310932232979214
326_10_1,0.6741325184845832
331_10_1,0.5536906248132007
336_10_1,0.567203939195204
341_10_1,0.39495844730570895
349_10_1,0.5178990454361104
354_10_1,0.5082693310419344
359_10_1,0.32689951368755554
366_10_1,0.641251491598248
372_10_1,0.42532885036511375
377_10_1,0.32418876901171506
382_10_1,0.44458358928770597
390_10_1,0.32247446075369984
395_10_1,0.2795898136255845
402_10_1,0.20683546996192118
408_10_1,0.31127570339888694
413_10_1,0.3152013750776617
418_10_1,0.231267364046643
424_10_1,0.2282138788833144
429_10_1,0.24388717983623312
434_10_1,0.2548497787481137
438_10_1,0.23728403729280534
444_10_1,0.1967497352367517
449_10_1,0.25840158343463093
454_10_1,0.406348184912514
459_10_1,0.21547907154322696
467_10_1,0.32219602928838037
476_10_1,0.2285458511308928
483_10_1,0.29496748404341894
492_10_1,0.2390587644447175
497_10_1,0.20272437713003885
502_10_1,0.2618606804795433
508_10_1,0.45525076439515694
516_10_1,0.33196980243292784
522_10_1,0.20989779971428327
527_10_1,0.44011577759515136
532_10_1,0.22788876582738438
536_10_1,0.3282905076874933
541_10_1,0.40015454650589466
546_10_1,0.2290120178500996
550_10_1,0.2995265417919717
555_10_1,0.22018696341638191
560_10_1,0.3440535501414631
565_10_1,0.3870131747881458
570_10_1,0.3421394330207059
574_10_1,0.14915807670746148
579_10_1,0.3910825780005887
586_10_1,0.3149313125986086
592_10_1,0.25212867262064126
597_10_1,0.2942498046176555
601_10_1,0.21643650883980842
607_10_1,0.2674274856604036
613_10_1,0.28010688241945164
618_10_1,0.1810482191330042
622_10_1,0.37046379385927053
628_10_1,0.23932269296615807
634_10_1,0.16659905440362865
639_10_1,0.33488533447818497
645_10_1,0.2585056767392256
659_10_1,0.3420385882885957
669_10_1,0.32453729571392403
677_10_1,0.4399538552013943
681_10_1,0.2177996124232559
685_10_1,0.2259415927450736
690_10_1,0.19578668152849626
695_10_1,0.23042340300103256
707_10_1,0.3617980232445477
711_10_1,0.20877676872711037
716_10_1,0.3411694728720253
725_10_1,0.44438238513125633
731_10_1,0.24400718411065123
737_10_1,0.28480207741584584
742_10_1,0.4322422361198846
746_10_1,0.27134332420913504
751_10_1,0.3447984280115679
757_10_1,0.2368284673532822
762_10_1,0.18470504156845788
767_10_1,0.20018191496044718
775_10_1,0.24979139158901606
784_10_1,0.2472117561979325
788_10_1,0.2215958954178138
795_10_1,0.17749731475359384
807_10_1,0.2561551208665699
813_10_1,0.414341141622289
819_10_1,0.3371127258230328
826_10_1,0.26959145837661447
834_10_1,0.1998915945253152
842_10_1,0.24257281671655415
850_10_1,0.30018068057815417
858_10_1,0.19759479392574086
865_10_1,0.37248440722631543
872_10_1,0.26899265027016034
881_10_1,0.23385927011034524
886_10_1,0.20122052605716606
890_10_1,0.17748453502450962
902_10_1,0.2912336295235423
909_10_1,0.31442185835752934
914_10_1,0.3227464800148015
917_10_1,0.25336909815485953
922_10_1,0.28191154295912657
929_10_1,0.253835257257937
940_10_1,0.30067142161374544
946_10_1,0.1809164424142201
953_10_1,0.24897824705407207
958_10_1,0.2180553285754542
963_10_1,0.16409120954063433
972_10_1,0.3128004854231464
977_10_1,0.25665695371358094
981_10_1,0.283462867752623
987_10_1,0.21550085104519567
991_10_1,0.25070354597517686
996_10_1,0.2944086245584302
1001_10_1,0.25444154677480985
1010_10_1,0.2765502338793815
1017_10_1,0.19339539946743908
1023_10_1,0.22489372840193594
1027_10_1,0.24389907650841897
1033_10_1,0.2278090846288306
1037_10_1,0.22915920364798067
1043_10_1,0.17812548392482858
1049_10_1,0.22760419009456562
1055_10_1,0.2621561082094279
1061_10_1,0.4024808208137032
1066_10_1,0.2573952105288575
1071_10_1,0.22788011823417187
1076_10_1,0.28088179363888494
1084_10_1,0.6125229330772246
1089_10_1,0.43307372290311624
1098_10_1,0.4728139995271993
1107_10_1,0.4042289045556782
1117_10_1,0.31243938686960504
1122_10_1,0.28879533288831744
1126_10_1,0.39767027849970354
1133_10_1,0.31748974098152144
1140_10_1,0.3023119772017724
1147_10_1,0.25690282800982606
1153_10_1,0.23072506450525296
1157_10_1,0.21728579592193575
1168_10_1,0.3089980172924283
1171_10_1,0.27381358239515446
1176_10_1,0.21413692991559014
1184_10_1,0.24123755423222007
1189_10_1,0.40635425873621267
1194_10_1,0.25481616598356766
1200_10_1,0.2261139094294621
1206_10_1,0.2929740878177318
1213_10_1,0.25417817069930004
1221_10_1,0.21817874284332203
1229_10_1,0.31819058422114277
1234_10_1,0.21585455771256704
1239_10_1,0.2683810519096991
1244_10_1,0.2668429012070164
1250_10_1,0.14380602665924655
1257_10_1,0.29700602629484146
1261_10_1,0.20588933593105263
1267_10_1,0.24833183486881275
1273_10_1,0.2572709359307926
1278_10_1,0.24276178982644248
1283_10_1,0.2740850054445805
1289_10_1,0.274563920519833
1295_10_1,0.3628750515281506
1303_10_1,0.35448383148248175
1308_10_1,0.2606638169650611
1318_10_1,0.2997858377056982
1322_10_1,0.33680474748607464
1327_10_1,0.44102758779437823
1333_10_1,0.5289488698805901
1340_10_1,0.39777136865848434
1347_10_1,0.42427750683899224
1353_10_1,0.31910089412692194
1358_10_1,0.29581445716971017
1365_10_1,0.31235407019688743
1374_10_1,0.35276932742023476
1379_10_1,0.20530434147645674
1384_10_1,0.16392601704759605
1390_10_1,0.15732659153174533
1395_10_1,0.19961438116141028
1404_10_1,0.190712070951914
1406_10_1,0.1868680676208464
1411_10_1,0.21277067457473073
1421_10_1,0.2971797402625382
1426_10_1,0.27671513095274397
1432_10_1,0.2125156986334275
1438_10_1,0.24542939888506954
1443_10_1,0.23109984086698507
1447_10_1,0.2780495322266698
1451_10_1,0.1796181714393223
1455_10_1,0.3017481358252979
1462_10_1,0.283918482679108
1467_10_1,0.3097643906393143
1477_10_1,0.2445244106191453
1482_10_1,0.2107036245768323
1486_10_1,0.2313231220195612
1491_10_1,0.36007457951591665
1498_10_1,0.36094844288378636
1503_10_1,0.510403895674081
1510_10_1,0.30418081676513314
1519_10_1,0.5699740506849682
1524_10_1,0.363702796891102
1528_10_1,0.3309517646035833
1533_10_1,0.2710819308306383
1539_10_1,0.35120481921493496
1544_10_1,0.3265323386903888
1551_10_1,0.2950827361778521
1556_10_1,0.32559336446888076
1562_10_1,0.24399115680333014
1566_10_1,0.17110796424428462
1570_10_1,0.21944888783871183
1575_10_1,0.3799969747280436
1580_10_1,0.34567329993145657
1591_10_1,0.32904428976820477
1596_10_1,0.2551589250119699
1601_10_1,0.31777047101069433
1605_10_1,0.3427037416849765
1610_10_1,0.3486004133409698
1615_10_1,0.3523837835478675
1620_10_1,0.4435438748761965
1626_10_1,0.34321072576678213
1631_10_1,0.4325837642465978
1636_10_1,0.300685744951438
1641_10_1,0.32951835426973347
1646_10_1,0.28698404632476976
1650_10_1,0.2702620274592717
1655_10_1,0.21233935435857762
1661_10_1,0.20509669317577667
1668_10_1,0.2283060606420994
1677_10_1,0.24913680485138892
1681_10_1,0.26255670186810565
1686_10_1,0.48864576916260893
1695_10_1,0.22903193216997805
1703_10_1,0.36043338923953705
1707_10_1,0.3535406205677318
1715_10_1,0.2605443850162511
1718_10_1,0.23343504886039848
1723_10_1,0.26428362091298413
1728_10_1,0.2806359161931301
1733_10_1,0.2084010765372875
1741_10_1,0.3265212542683736
1745_10_1,0.3064838341508421
1750_10_1,0.28675494029220394
1757_10_1,0.262847378198939
1763_10_1,0.3150646816979975
1769_10_1,0.3013028492569263
1775_10_1,0.3360018625410014
1779_10_1,0.33925012385758957
1784_10_1,0.33758681230966914
1787_10_1,0.3492631821291727
1794_10_1,0.25378637313363894
1804_10_1,0.3268086423585195
1809_10_1,0.18481498436899982
1815_10_1,0.3982219374811785
1824_10_1,0.35859460613923183
1830_10_1,0.30108256677326795
1834_10_1,0.37183955811595065
1840_10_1,0.23274804305836513
1846_10_1,0.36498509296153747
1851_10_1,0.26075015408238217
1856_10_1,0.3551140051220976
1862_10_1,0.22665525214889282
1866_10_1,0.21446642899331123
1870_10_1,0.1824624442969857
1875_10_1,0.21209611950648316
1882_10_1,0.2885947042028537
1891_10_1,0.2925197148830095
1898_10_1,0.23818159141853493
1902_10_1,0.17223964506398193
1906_10_1,0.19725133695062283
1910_10_1,0.21772681336672603
1915_10_1,0.31811524006089115
1918_10_1,0.3175609266596481
1923_10_1,0.3098020795140354
1930_10_1,0.29444859916234645
1935_10_1,0.48630032566277537
1942_10_1,0.2409266075058603
1946_10_1,0.28285110846498956
1954_10_1,0.27458265161948275
